Route_ID,Route_Name,Action_Taken,New_Route_ID,Route_KM,OSRM_Duration_S,Cycle_Time_Min,Sharp_Turns,Junction_Penalty_Min,Fleet_Required,Total_Minibuses_Existing,Headway_Min,Population_Served,HV_POI_Count,Residential_Score,Commercial_Score,Composite_Demand_Score,Old_Wait_Time,New_Wait_Time,Overlap_Metric,Geo_Source,Fleet_Imputed,View_Map
R0395,JANIPUR COLONY ↔ BARI BRAHMANA NO FOUR,RETAINED_AS_FEEDER,FDR-061,21.368,1544.4,70.7,10,5.0,5,3.0,15,172338,15,8065.24,631.79,8697.03,24,15,0.213,OSRM,True,"<a href=""route_maps/FDR-061.html"">View Map</a>"
R0396,JANIPUR COLONY ↔ BAHU FORT MAHA MAYA,RETAINED_AS_FEEDER,FDR-076,9.245,709.9,33.0,5,2.5,3,2.0,15,70557,9,7631.91,730.12,8362.03,17,15,0.2173,OSRM,True,"<a href=""route_maps/FDR-076.html"">View Map</a>"
R0397,JANIPUR COLONY ↔ SIMBLE CAMP,RETAINED_AS_FEEDER,FDR-301,22.427,1433.9,61.9,6,3.0,5,3.0,15,60713,2,2707.14,89.18,2796.32,21,15,0.019,OSRM,True,"<a href=""route_maps/FDR-301.html"">View Map</a>"
R0398,JANIPUR COLONY ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-160,23.945,1458.6,67.4,10,5.0,5,4.0,15,138554,13,5786.34,480.27,6266.61,17,15,0.1654,OSRM,True,"<a href=""route_maps/FDR-160.html"">View Map</a>"
R0399,JANIPUR COLONY ↔ SMAILPUR,RETAINED_AS_FEEDER,FDR-081,23.028,1446.6,64.7,8,4.0,5,4.0,15,178151,15,7736.28,586.24,8322.52,17,15,0.1993,OSRM,True,"<a href=""route_maps/FDR-081.html"">View Map</a>"
R0409,JANIPUR COLONY ↔ BAHU FORT,RETAINED_AS_FEEDER,FDR-077,9.245,709.9,33.0,5,2.5,3,2.0,15,70557,9,7631.91,730.12,8362.03,17,15,0.2173,OSRM,True,"<a href=""route_maps/FDR-077.html"">View Map</a>"
R0411,JANIPUR COLONY ↔ CHANNI HIMMAT,RETAINED_AS_FEEDER,FDR-072,13.248,813.4,40.4,8,4.0,3,2.0,15,102512,11,7737.92,660.48,8398.4,21,15,0.1839,OSRM,True,"<a href=""route_maps/FDR-072.html"">View Map</a>"
R0412,JANIPUR GRID STATION ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-236,23.942,1981.1,92.0,14,7.0,7,4.0,15,110735,9,4625.14,344.58,4969.72,23,15,0.1568,OSRM,True,"<a href=""route_maps/FDR-236.html"">View Map</a>"
R0413,JANIPUR GRID STATION ↔ MAKWAL,RETAINED_AS_FEEDER,FDR-333,42.755,3029.5,125.3,8,4.0,9,6.0,15,67590,6,1580.87,122.79,1703.66,21,15,0.0622,OSRM,True,"<a href=""route_maps/FDR-333.html"">View Map</a>"
R0414,JANIPUR GRID STATION ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-226,27.361,1922.1,84.0,9,4.5,6,4.0,15,135053,12,4935.97,383.76,5319.73,21,15,0.1687,OSRM,True,"<a href=""route_maps/FDR-226.html"">View Map</a>"
